id,nome,host_id,host_name,bairro_group,bairro,latitude,longitude,room_type,price,minimo_noites,numero_de_reviews,ultima_review,reviews_por_mes,calculado_host_listings_count,disponibilidade_365
2595,Skylit Midtown Castle,2845,Jennifer,Manhattan,Midtown,40.75362,-73.98377,Entire home/apt,225,1,45,2019-05-21,0.38,2,355
13001082,Share space in E Harlem,4112409,Rick,Manhattan,East Harlem,40.79193,-73.9439,Shared room,45,1,52,2019-06-19,1.41,1,347
13006002,Cozy room in a beautiful and quite apartment,31996442,Annalisa,Brooklyn,Clinton Hill,40.69475,-73.96848,Private room,70,1,3,2016-07-18,0.08,1,0
13007839,Second floor apartment,71754921,Berta,Brooklyn,Crown Heights,40.66789,-73.94351,Entire home/apt,100,1,0,,,1,0
31881052,Park Slope Villa,238953933,Claudia,Brooklyn,South Slope,40.66371,-73.9876,Entire home/apt,110,1,48,2019-06-23,9.93,1,250
31879380,Peaceful room in cool area close to G/7/Ferry/JFK,80500739,Janet,Brooklyn,Greenpoint,40.7372,-73.95299,Private room,115,1,19,2019-07-06,5.33,1,345
13018125,AMAZING CENTRAL MANHATTAN 1 BED W/BALCONY FITS 4!,10797290,Caroline,Manhattan,Chelsea,40.74469,-73.99858,Entire home/apt,225,1,32,2019-01-01,0.87,1,0
13018127,Big Beautiful Master Bedroom in Williamsburg,22124777,Isabella,Brooklyn,Williamsburg,40.70961,-73.96352,Private room,100,1,37,2019-06-14,1.07,1,0
13019851,Beautiful Brooklyn Bedroom!,59093909,Katherine E,Brooklyn,Clinton Hill,40.69525,-73.96604,Private room,45,1,3,2016-07-14,0.08,1,0
13023771,Prospect gardens,71853402,Lorraine,Brooklyn,Prospect-Lefferts Gardens,40.65719,-73.95245,Private room,100,1,14,2019-04-30,0.37,2,304
13025960,Bright & Cozy Furnitured 4 Sublet,71948176,Cristian,Brooklyn,Bedford-Stuyvesant,40.68917,-73.95528,Private room,1000,1,0,,,1,0
13026702,"Modern, Spacious 1-bedroom Apt in Lower East Side",9455699,Shylie,Manhattan,Lower East Side,40.72033,-73.98767,Entire home/apt,195,1,9,2017-09-26,0.24,1,0
31876569,Greenpoint Getaway,157896836,Emily,Brooklyn,Greenpoint,40.72115,-73.94841,Private room,48,1,1,2019-02-10,0.2,1,0
13031826,Modern Brooklyn Lifestyle,18933388,Efrem,Brooklyn,Crown Heights,40.67661,-73.95611,Entire home/apt,225,1,5,2016-07-17,0.13,1,0
31866909,Private Gramercy studio btwn downtown & midtown!,169318289,Marla,Manhattan,Gramercy,40.73572,-73.98017,Entire home/apt,90,1,11,2019-06-23,2.31,1,89
13039122,Bk's Finest City life close to Transportation,50600973,Joyell,Brooklyn,Bushwick,40.69499,-73.9283,Private room,45,1,251,2019-06-20,6.68,7,69
13040618,Sunny and spacious private room,23457783,Stephanie,Brooklyn,Bushwick,40.6905,-73.90834,Private room,40,1,1,2016-05-15,0.03,1,0
13040683,Airy livingroom in quiet restaurant neighborhood !,28868609,John,Queens,Ditmars Steinway,40.77266,-73.90268,Shared room,100,1,1,2016-05-23,0.03,1,0
13058888,Great Deal!!! Big Room in the Heart of Harlem,7701998,Pedro,Manhattan,Harlem,40.81569,-73.94622,Private room,75,1,0,,,1,0
13058496,Sunny Private Room in Brooklyn,72315258,Anna,Brooklyn,Crown Heights,40.67619,-73.93866,Private room,28,1,0,,,1,0
13058423,Charming 1 br - most perfect block!,26535250,Sheila,Brooklyn,Windsor Terrace,40.65841,-73.97753,Entire home/apt,50,1,74,2019-06-01,2.03,3,236
13058232,1 Bedroom townhouse apt in Chelsea w/ back garden,72313021,Michael,Manhattan,Chelsea,40.74472,-74.00095,Entire home/apt,295,1,50,2019-07-07,1.33,1,77
13056210,Very large room for 1 adult,72291606,Jon,Brooklyn,Bushwick,40.69029,-73.91899,Shared room,75,1,25,2017-03-07,0.66,1,155
13055856,A Brooklyn Experience,72287701,Robert,Brooklyn,Crown Heights,40.67533,-73.95545,Entire home/apt,175,1,121,2019-04-29,3.17,1,7
12990578,Cozy Room with Window View near Times Square,49447536,Wing Yan,Manhattan,Hell's Kitchen,40.75484,-73.9922,Private room,100,1,1,2016-06-08,0.03,1,0
